image,method,omega,time_ms,brightness,contrast,entropy,color_cast,edge_energy
paper_hazy1,input,0.8,0,0.495088,0.108515,6.52208,0.0613327,0.0596118
paper_hazy1,ROP,0.8,165.07,0.710492,0.221173,7.47647,0.0448792,0.199418
paper_hazy1,ROP+,0.8,613.673,0.614815,0.296321,7.6643,0.0098907,0.138404
paper_hazy1,ablation,0.5,607.724,0.622426,0.291943,7.58554,0.012034,0.14819
paper_hazy1,ablation,0.65,602.116,0.618812,0.294032,7.62754,0.011074,0.143547
paper_hazy1,ablation,0.8,603.816,0.614815,0.296321,7.6643,0.0098907,0.138404
paper_hazy1,ablation,0.95,602.497,0.61044,0.29878,7.68771,0.00856979,0.132682
paper_sandstorm1,input,0.8,0,0.528222,0.107264,6.47473,0.439429,0.0615719
paper_sandstorm1,ROP,0.8,89.0998,0.681518,0.232783,7.56053,0.0727822,0.195826
paper_sandstorm1,ROP+,0.8,340.686,0.680367,0.267246,7.4423,0.0723689,0.175791
paper_underw1,input,0.8,0,0.498092,0.128131,6.92971,0.357399,0.0486541
paper_underw1,ROP,0.8,147.606,0.494509,0.246073,7.78523,0.0482341,0.175482
paper_underw1,ROP+,0.8,533.052,0.491738,0.290874,7.86102,0.0622511,0.152083
